APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
a2dpvolume,15.2357263565063,49,247,0,5.04,168,42.86
aagtl,7.24413824081421,44,81,0,1.84,81,54.55
aard2,64.3556208610535,32,109,0,3.41,82,45.45
acal,3.45380592346191,42,65,0,1.55,65,0
Addi,10.0319290161133,33,66,0,2,66,31.03
adsdroid,4.47577548027039,24,43,0,1.79,43,8.33
aGrep,2.55768632888794,50,125,0,2.5,125,51.02
alarmclock,2.82212257385254,37,76,0,2.05,76,64.86
aLogCat,2.12097811698914,49,85,0,1.73,85,53.06
amazed,3.60496425628662,46,238,0,5.17,238,54.55
androidmatic-keyer,3.25710701942444,41,61,0,1.49,61,46.34
anycut,2.90896606445313,50,56,0,1.12,56,26
anymemo,116.6746571064,44,180,0,4.09,125,22.73
appcachecleaner,43.7748329639435,50,66,0,1.32,66,40
autoanswer,1.79205822944641,6,8,0,1.33,8,83.33
battery_circle,3.6386125087738,49,138,0,2.82,138,77.55
batterydog,1.60021901130676,48,64,0,1.33,64,83.33
bites,1.84678840637207,47,83,0,1.77,83,60.61
blokish,32.9872257709503,47,97,0,2.06,97,48.94
bomber,1.49786806106567,32,46,0,1.44,46,71.88
bookcatalogue,45.072979927063,46,158,0,3.43,158,17.39
countdowntimer,4.86585259437561,41,49,0,1.2,49,39.02
dalvikexplorer,2.36171007156372,44,88,0,2,88,50
dialer2,1.98280930519104,50,76,0,1.52,76,38
divide_and_conquer,4.13871169090271,49,137,0,2.8,137,50
fileexplorer,2.76684236526489,10,20,0,2,18,62.5
frozenbubble,2.73203945159912,49,159,0,3.24,159,28.57
gestures,22.9338104724884,44,117,0,2.66,117,54.55
hndroid,2.72129607200623,49,74,0,1.51,74,26.53
hotdeath,6.6620934009552,50,91,0,1.82,91,18
importcontacts,2.12449717521668,50,66,0,1.32,66,50
jamendo,21.3281071186066,46,55,0,1.2,55,23.91
k9mail,88.0352687835693,48,185,0,3.85,185,4.17
learn_music_notes,2.27933955192566,47,71,0,1.51,71,60
lockpatterngenerator,2.59843182563782,50,116,0,2.32,116,70
lolcatbuilder,2.04612469673157,50,79,0,1.58,79,16
manpages,2.03564405441284,50,60,0,1.2,60,44.44
mileage,12.4200251102448,39,66,0,1.69,66,17.95
mininoteviewer,2.44649648666382,50,95,0,1.9,95,12
mirrored,5.14445042610169,50,76,0,1.52,76,68
multismssender,1.98077607154846,48,85,0,1.77,85,43.75
munchlife,2.06563138961792,20,23,0,1.15,23,90
musicplayer,25.5812268257141,33,219,0,6.64,189,63.64
myexpenses,481.717725276947,47,246,0,5.23,169,12.77
mylock,1.96128821372986,28,65,0,2.32,65,26.67
nectroid,2.22089886665344,46,79,0,1.72,79,30.43
netcounter,2.78676676750183,50,78,0,1.56,78,26
passwordmaker,83.546222448349,47,62,0,1.32,62,57.45
passwordmanager,94.4635035991669,32,51,0,1.59,51,12.5
quicksettings,2.4918954372406,48,116,0,2.42,106,62.5
ringdroid,2.67898440361023,50,162,0,3.24,162,34
sanity,6.19860887527466,29,60,0,2.07,60,24.14
swiftp,41.5304231643677,50,77,0,1.54,58,18
syncmypix,3.57316780090332,44,103,0,2.34,103,50
tippytipper,10.7970254421234,50,103,0,2.06,103,92
tomdroid,11.8301672935486,49,129,0,2.63,129,32.65
translate,2.80640006065369,33,55,0,1.67,55,36.36
weight_chart,2.37778615951538,50,89,0,1.78,89,24
whohasmystuff,19.8223552703857,50,58,0,1.16,58,28
wikipedia,177.254652738571,45,114,0,2.53,114,50
worldclock,2.71362733840942,50,99,0,1.98,99,72
yahtzee,1.93948650360107,49,91,0,1.86,91,12.24
zooborns,1.93558073043823,47,65,0,1.38,65,53.19
