App name,Analysis Time,Reachable methods,Average paths per method,PoR
A2DP Volume,15.24,98.00%,5.04,42.86%
aagtl,7.24,88.00%,1.84,54.55%
Aard 2,64.36,64.00%,3.41,45.45%
aCalDAV,3.45,84.00%,1.55,0%
Addi,10.03,66.00%,2.0,31.03%
ADSdroid,4.48,48.00%,1.79,8.33%
aGrep,2.56,100.00%,2.5,51.02%
Alarm Klock,2.82,74.00%,2.05,64.86%
aLogcat,2.12,98.00%,1.73,53.06%
aMazed,3.60,92.00%,5.17,54.55%
AKA,3.26,82.00%,1.49,46.34%
Any Cut,2.91,100.00%,1.12,26%
AnyMemo,116.67,88.00%,4.09,22.73%
Cache Cleaner Debug,43.77,100.00%,1.32,40%
AutoAnswer,1.79,30.00%,1.33,83.33%
Battery Circle,3.64,98.00%,2.82,77.55%
Android Battery Dog,1.60,96.00%,1.33,83.33%
Bites,1.85,94.00%,1.77,60.61%
Blokish,32.99,94.00%,2.06,48.94%
Bomber,1.50,100.00%,1.44,71.88%
Book Catalogue,45.07,92.00%,3.43,17.39%
Countdown Timer,4.87,100.00%,1.2,39.02%
Dalvik Explorer,2.36,88.00%,2.0,50%
Dialer2,1.98,100.00%,1.52,38%
Divide and Conquer!,4.14,98.00%,2.8,50%
File Explorer,2.77,20.00%,2.0,62.5%
Frozen Bubble,2.73,98.00%,3.24,28.57%
G2L,22.93,88.00%,2.66,54.55%
HNdroid,2.72,98.00%,1.51,26.53%
Hot Death,6.66,100.00%,1.82,18%
Import Contacts,2.12,100.00%,1.32,50%
Jamendo,21.33,92.00%,1.2,23.91%
K-9 Mail,88.04,96.00%,3.85,4.17%
Learn Music Notes,2.28,94.00%,1.51,60%
Lock Pattern Generator,2.60,100.00%,2.32,70%
Lolcat Builder,2.05,100.00%,1.58,16%
Manpages,2.04,100.00%,1.2,44.44%
Mileage,12.42,78.00%,1.69,17.95%
miniNoteViewer,2.45,100.00%,1.9,12%
Mirrored,5.14,100.00%,1.52,68%
Multi Sms,1.98,96.00%,1.77,43.75%
MunchLife,2.07,100.00%,1.15,90%
MusicPlayer,25.58,66.00%,6.64,63.64%
My Expenses Debug,481.72,94.00%,5.23,12.77%
myLock utilities,1.96,56.00%,2.32,26.67%
Nectroid,2.22,92.00%,1.72,30.43%
NetCounter,2.79,100.00%,1.56,26%
PasswordMaker Pro,83.55,94.00%,1.32,57.45%
KeePassDroid,94.46,64.00%,1.59,12.5%
Quick Settings,2.49,96.00%,2.42,62.5%
Ringdroid,2.68,100.00%,3.24,34%
Sanity,6.20,58.00%,2.07,24.14%
FTP Server (Free),41.53,100.00%,1.54,18%
SyncMyPix,3.57,88.00%,2.34,50%
Tippy Tipper,10.80,100.00%,2.06,92%
Tomdroid,11.83,98.00%,2.63,32.65%
Translate,2.81,66.00%,1.67,36.36%
Weight Chart,2.38,100.00%,1.78,24%
Who Has My Stuff?,19.82,100.00%,1.16,28%
Wikipedia,177.25,90.00%,2.53,50%
World Clock,2.71,100.00%,1.98,72%
Yahtzee,1.94,98.00%,1.86,12.24%
ZooBorns,1.94,94.00%,1.38,53.19%
,,,,
Average,24.55,89.03%,2.19,42.38%
