APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
a2dpvolume,37.654990673065186,49,247,0,5.04,168,42.86
aagtl,20.19314742088318,44,81,0,1.84,81,54.55
aard2,94.48368000984192,32,109,0,3.41,82,45.45
acal,13.593979358673096,42,65,0,1.55,65,0.00
Addi,32.478596448898315,33,66,0,2.00,66,31.03
adsdroid,27.690306901931763,24,43,0,1.79,43,8.33
aGrep,10.645384073257446,50,125,0,2.50,125,51.02
alarmclock,12.299479007720947,37,76,0,2.05,76,70.27
aLogCat,10.364749908447266,49,85,0,1.73,85,53.06
amazed,17.200320720672607,46,238,0,5.17,238,54.55
androidmatic-keyer,13.540839195251465,41,61,0,1.49,61,46.34
anycut,10.811742067337036,50,56,0,1.12,56,26.00
anymemo,229.86080241203308,44,180,0,4.09,125,22.73
appcachecleaner,87.69312191009521,50,66,0,1.32,66,40.00
autoanswer,9.50859808921814,6,8,0,1.33,8,83.33
battery_circle,14.334962368011475,49,138,0,2.82,138,77.55
batterydog,10.00000524520874,48,64,0,1.33,64,83.33
bites,10.285333156585693,47,83,0,1.77,83,60.61
blokish,72.33388137817383,47,97,0,2.06,97,48.94
bomber,9.065812349319458,32,46,0,1.44,46,71.88
bookcatalogue,97.58422517776489,46,158,0,3.43,158,17.39
countdowntimer,16.355967044830322,41,49,0,1.20,49,39.02
dalvikexplorer,11.563568830490112,44,88,0,2.00,88,50.00
dialer2,10.377141237258911,50,76,0,1.52,76,38.00
divide_and_conquer,11.131622314453125,49,137,0,2.80,137,50.00
fileexplorer,11.95989727973938,10,20,0,2.00,18,62.50
frozenbubble,12.769779205322266,49,159,0,3.24,159,28.57
gestures,44.10767865180969,44,117,0,2.66,117,54.55
hndroid,10.491013765335083,49,74,0,1.51,74,26.53
hotdeath,16.718830823898315,50,91,0,1.82,91,18.00
importcontacts,9.859651327133179,50,66,0,1.32,66,50.00
jamendo,10.213090181350708,46,55,0,1.20,55,23.91
k9mail,145.7169439792633,48,185,0,3.85,185,4.17
learn_music_notes,7.686678171157837,47,71,0,1.51,71,60.00
lockpatterngenerator,10.142006635665894,50,116,0,2.32,116,70.00
lolcatbuilder,10.085801124572754,50,79,0,1.58,79,16.00
manpages,8.836003303527832,50,60,0,1.20,60,44.44
mileage,32.52039909362793,39,66,0,1.69,66,17.95
mininoteviewer,11.87913203239441,50,95,0,1.90,95,12.00
mirrored,12.889767408370972,50,76,0,1.52,76,68.00
multismssender,8.329056978225708,48,85,0,1.77,85,43.75
munchlife,8.05481505393982,20,23,0,1.15,23,90.00
musicplayer,66.04155039787292,33,219,0,6.64,189,63.64
myexpenses,932.4611401557922,47,246,0,5.23,169,12.77
mylock,10.953068256378174,28,65,0,2.32,65,26.67
nectroid,7.943019390106201,46,79,0,1.72,79,30.43
netcounter,7.795480489730835,50,78,0,1.56,78,26.00
passwordmaker,86.31799912452698,47,62,0,1.32,62,57.45
passwordmanager,390.3931767940521,32,51,0,1.59,51,12.50
quicksettings,13.635802030563354,48,116,7,2.42,106,62.50
ringdroid,18.68819546699524,50,162,0,3.24,162,34.00
sanity,14.054078340530396,29,60,0,2.07,60,24.14
swiftp,53.67980742454529,50,77,0,1.54,58,18.00
syncmypix,8.842432737350464,44,103,0,2.34,103,50.00
tippytipper,14.240382432937622,50,103,0,2.06,103,92.00
tomdroid,13.074580430984497,49,129,0,2.63,129,32.65
translate,7.74884033203125,33,55,0,1.67,55,36.36
weight_chart,8.14426326751709,50,89,0,1.78,89,24.00
whohasmystuff,29.283008098602295,50,58,0,1.16,58,28.00
wikipedia,206.7041871547699,45,114,0,2.53,114,50.00
worldclock,8.905961275100708,50,99,0,1.98,99,72.00
yahtzee,7.275890111923218,49,91,0,1.86,91,12.24
zooborns,6.797700643539429,47,65,0,1.38,65,53.19
