App name,# DEX(s),Analysis Time,Reachable methods,Average paths per method,PoR
DoorDash,10,3746.23,28.00%,9.07,0%
Linky,12,989.01,28.00%,6.71,0%
Lite,1,14.81,42.00%,2.33,0%
Too Good To Go,4,803.65,22.00%,58.45,0%
CBS Sports,8,2074.99,40.00%,23.3,0%
ExpressVPN,14,480.12,72.00%,223.0,0%
Instacart,12,1285.31,10.00%,13.4,0%
Poly.AI,8,1719.43,30.00%,22.13,0%
Health Tracker,5,876.50,50.00%,7.76,0%
Blood Sugar,4,1018.23,36.00%,48.72,0%
Fast Launcher,7,1566.34,34.00%,101.53,0%
BitMine Pro,1,32.15,0.00%,0.0,0%
Dominos,2,663.41,92.00%,1.5,0%
Burger King,5,431.98,32.00%,2.0,0%
Temu,5,541.53,0.00%,0.0,0%
CapCut,23,8552.67,28.00%,83.14,0%
Instabridge,15,1975.61,46.00%,14.09,0%
YouTube TV,4,684.08,18.00%,125.67,0%
Airbnb,7,8234.65,32.00%,74.75,0%
My Spectrum,3,242.22,20.00%,25.6,0%
Bumble,8,1020.32,0.00%,0.0,0%
Messages,9,998.38,30.00%,5.0,0%
AliExpress,7,847.48,32.00%,1.75,0%
KashKick,4,317.26,52.00%,4.85,0%
FOX Sports,7,592.95,30.00%,4.93,0%
Americas best pics and videos,9,1251.26,24.00%,10.75,0%
Capital One,9,1257.03,0.00%,0.0,0%
Threads,11,7880.26,12.00%,47.17,0%
Expedia,22,1535.68,26.00%,2.08,0%
Clean Planner,3,689.14,66.00%,3.52,0%
Character.AI,4,301.58,24.00%,9.0,0%
Find My Device,2,247.34,32.00%,23.06,0%
Cash Giraffe,3,238.62,14.00%,3.29,0%
Discord,4,278.82,22.00%,1.73,0%
BofA,13,2385.18,6.00%,52.67,0%
Inbox Homescreen,8,24370.13,88.00%,162.73,0%
Beat Maker Pro,8,2802.23,34.00%,57.53,0%
Authenticator,7,934.35,64.00%,11.03,0%
YT Kids,3,4032.41,86.00%,113.28,0%
Translate,3,1359.01,50.00%,35.8,0%
Canva,4,395.99,18.00%,21.78,0%
Kalshi,2,154.88,16.00%,27.62,0%
DraftKings Sportsbook & Casino,5,403.35,2.00%,1.0,0%
Zipper Lock Screen,6,487.01,14.00%,1.86,0%
BandLab,5,948.67,4.00%,70.0,0%
Zangi,3,862.71,58.00%,17.86,0%
Edge,3,760.06,32.00%,23.88,0%
CVS,49,3254.15,46.00%,27.13,0%
Teams,8,172613.34,60.00%,188.47,0%
Little Caesars,6,434.63,62.00%,4.16,0%
Move to iOS,1,26.98,96.00%,1.6,0%
iHeartRadio,8,770.60,66.00%,2.06,0%
ESPN,7,683.93,32.00%,28.06,0%
JustPlay,12,945.58,84.00%,2.4,0%
Hulu,5,314.24,26.00%,2.23,0%
 Zipper Lock Screen,5,484.05,78.00%,3.54,0%
DuckDuckGo,7,380.41,30.00%,35.0,0%
JumpJumpVPN,2,206.96,44.00%,1.32,0%
Credit Karma,6,1792.72,14.00%,96.71,0%
FanDuel Sportsbook,3,216.89,36.00%,3.78,0%
Affirm,7,758.13,28.00%,1.0,0%
Alibaba.com,7,610.85,56.00%,1.46,0%
eBay,7,47097.28,54.00%,68.37,0%
Roku Remote,4,4402.75,82.00%,60.71,0%
QR & Barcode Scanner,2,159.34,16.00%,1.75,0%
Etsy,5,816.40,48.00%,10.42,0%
Authenticator,2,162.84,34.00%,12.65,0%
Duolingo,7,6604.45,24.00%,98.92,0%
Chase,12,1561.16,8.00%,13.0,0%
Indeed Job Search,3,329.26,16.00%,2.75,0%
TV Remote,4,1992.76,54.00%,51.26,0%
Messenger,10,9241.85,40.00%,89.6,0%
Prime Video,6,1287.84,32.00%,1.0,0%
Scoopz,4,6998.09,42.00%,83.1,0%
Amazon Music,10,6780.89,58.00%,155.79,0%
Google Earth,2,400.59,54.00%,42.3,0%
Life360,5,2105.40,22.00%,235.18,0%
 EZ Recovery,3,254.65,22.00%,7.73,0%
Docs,5,4153.39,28.00%,96.21,0%
Dollar General,4,491.27,42.00%,11.62,0%
Dasher,16,1835.33,22.00%,1.91,0%
ChatOn,7,630.13,4.00%,1.0,0%
Crunchyroll,4,458.31,26.00%,3.0,0%
Disney+,6,501.55,22.00%,1.45,0%
,8,535.04,72.00%,4.81,0%
Gemini,2,66.61,50.00%,9.8,0%
ADPMobile,5,376.35,44.00%,13.64,0%
Fetch,3,871.22,18.00%,34.56,0%
Gauth,3,711.39,26.00%,10.15,0%
Google Wallet,3,316.99,8.00%,21.5,0%
Amazon Shopping,9,1148.20,20.00%,94.4,0%
Audible,8,896.38,26.00%,12.08,0%
Paramount+,7,580.37,20.00%,2.2,0%
Benjamin,4,754.46,50.00%,19.56,0%
GPS Tracker: Family Locator,4,2292.73,84.00%,33.57,0%
McDonalds,17,1425.99,2.00%,1.0,0%
TextNow,9,1759.54,68.00%,47.94,0%
 Fly Browser,4,3623.17,48.00%,103.38,0%
Eventbrite,14,676.22,36.00%,1.56,0%
,,,,,
Average,6.90,3950.29,36.12%,34.51,0%
